iter	Passed	Remaining
0	0	56
1	1	54
2	1	54
3	2	50
4	2	50
5	4	75
6	6	88
7	7	82
8	7	77
9	8	73
10	8	70
11	9	67
12	9	64
13	10	61
14	10	59
15	11	57
16	11	56
17	12	55
18	12	53
19	13	52
20	13	51
21	14	50
22	14	49
23	15	48
24	15	47
25	16	46
26	16	45
27	17	44
28	17	43
29	18	42
30	18	41
31	19	40
32	19	40
33	20	39
34	20	38
35	21	37
36	21	37
37	22	36
38	22	35
39	23	34
40	23	34
41	23	33
42	24	32
43	24	31
44	25	31
45	25	30
46	26	29
47	26	29
48	27	28
49	27	27
50	28	27
51	28	26
52	29	26
53	29	25
54	30	24
55	30	24
56	31	23
57	31	22
58	32	22
59	32	21
60	33	21
61	33	20
62	34	20
63	34	19
64	35	19
65	35	18
66	36	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	39	13
74	40	13
75	40	12
76	41	12
77	41	11
78	42	11
79	42	10
80	43	10
81	43	9
82	44	9
83	45	8
84	45	8
85	46	7
86	46	7
87	47	6
88	47	5
89	48	5
90	48	4
91	49	4
92	49	3
93	50	3
94	50	2
95	51	2
96	51	1
97	52	1
98	52	0
99	53	0
